Comment,Test,Validation,Training,Correct,AUC,MCC,F1,AVP,TPR,TNR,Prec,Rec,Confusion matrix,LR,Duration (s),Timestamp
0,8Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.67,0.608,0.103,0.29,0.283,0.404,0.723,0.226,0.404,"[[188  72]
 [ 31  21]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",40,2019-05-11 18:25:37.051063
0,8Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.528,0.564,0.025,0.261,0.247,0.5,0.533,0.176,0.5,"[[128 112]
 [ 24  24]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",59,2019-05-11 18:25:55.531936
0,8Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.648,0.478,-0.1,0.114,0.157,0.136,0.75,0.098,0.136,"[[165  55]
 [ 38   6]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",78,2019-05-11 18:26:14.684985
0,8Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.58,0.557,0.058,0.275,0.214,0.477,0.6,0.193,0.477,"[[132  88]
 [ 23  21]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",97,2019-05-11 18:26:33.426096
0,8Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.64,0.626,0.109,0.301,0.234,0.464,0.675,0.222,0.464,"[[189  91]
 [ 30  26]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",22,2019-05-11 18:27:03.618552
0,8Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.702,0.591,0.091,0.268,0.199,0.327,0.777,0.227,0.327,"[[202  58]
 [ 35  17]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",42,2019-05-11 18:27:23.302533
0,8Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.594,0.55,0.06,0.273,0.235,0.458,0.621,0.195,0.458,"[[149  91]
 [ 26  22]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",61,2019-05-11 18:27:42.422923
0,8Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.795,0.58,0.04,0.129,0.203,0.091,0.936,0.222,0.091,"[[206  14]
 [ 40   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",80,2019-05-11 18:28:02.222142
0,8Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.606,0.462,-0.014,0.212,0.179,0.318,0.664,0.159,0.318,"[[146  74]
 [ 30  14]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",99,2019-05-11 18:28:21.053383
0,8Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.738,0.732,0.303,0.436,0.372,0.607,0.764,0.34,0.607,"[[214  66]
 [ 22  34]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",20,2019-05-11 18:28:47.684336
0,8Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.673,0.531,-0.109,0.089,0.165,0.096,0.788,0.083,0.096,"[[205  55]
 [ 47   5]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",38,2019-05-11 18:29:05.414281
0,8Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.587,0.542,-0.01,0.222,0.199,0.354,0.633,0.162,0.354,"[[152  88]
 [ 31  17]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",55,2019-05-11 18:29:23.071862
0,8Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.72,0.592,0.15,0.315,0.246,0.386,0.786,0.266,0.386,"[[173  47]
 [ 27  17]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",73,2019-05-11 18:29:41.081575
0,8Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.629,0.466,0.05,0.258,0.183,0.386,0.677,0.193,0.386,"[[149  71]
 [ 27  17]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",93,2019-05-11 18:30:00.259267
0,8Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.497,0.509,-0.003,0.249,0.18,0.5,0.496,0.166,0.5,"[[139 141]
 [ 28  28]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",22,2019-05-11 18:30:28.761175
0,8Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.663,0.536,-0.003,0.198,0.179,0.25,0.746,0.165,0.25,"[[194  66]
 [ 39  13]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",40,2019-05-11 18:30:46.886619
0,8Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.538,0.544,0.009,0.249,0.202,0.458,0.554,0.171,0.458,"[[133 107]
 [ 26  22]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",58,2019-05-11 18:31:05.279696
0,8Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.636,0.628,0.086,0.284,0.214,0.432,0.677,0.211,0.432,"[[149  71]
 [ 25  19]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",77,2019-05-11 18:31:24.287628
0,8Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.708,0.582,0.15,0.319,0.296,0.409,0.768,0.261,0.409,"[[169  51]
 [ 26  18]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",96,2019-05-11 18:31:42.621842
0,8Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.679,0.564,0.061,0.25,0.193,0.321,0.75,0.205,0.321,"[[210  70]
 [ 38  18]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",20,2019-05-11 18:32:09.390094
0,8Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.654,0.575,-0.04,0.169,0.18,0.212,0.742,0.141,0.212,"[[193  67]
 [ 41  11]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",38,2019-05-11 18:32:27.314815
0,8Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.569,0.52,-0.026,0.215,0.202,0.354,0.612,0.155,0.354,"[[147  93]
 [ 31  17]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",56,2019-05-11 18:32:45.801012
0,8Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.606,0.487,-0.044,0.187,0.173,0.273,0.673,0.143,0.273,"[[148  72]
 [ 32  12]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",74,2019-05-11 18:33:03.754859
0,8Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.602,0.448,-0.047,0.186,0.217,0.273,0.668,0.141,0.273,"[[147  73]
 [ 32  12]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",92,2019-05-11 18:33:21.896111
0,8Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.524,0.688,0.139,0.328,0.33,0.696,0.489,0.214,0.696,"[[137 143]
 [ 17  39]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",22,2019-05-11 18:33:50.855816
0,8Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.619,0.516,-0.128,0.105,0.159,0.135,0.715,0.086,0.135,"[[186  74]
 [ 45   7]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",41,2019-05-11 18:34:10.162487
0,8Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.681,0.565,0.097,0.281,0.24,0.375,0.742,0.225,0.375,"[[178  62]
 [ 30  18]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",60,2019-05-11 18:34:29.683282
0,8Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.731,0.521,0.041,0.202,0.199,0.205,0.836,0.2,0.205,"[[184  36]
 [ 35   9]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",80,2019-05-11 18:34:49.326497
0,8Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.648,0.542,0.055,0.256,0.221,0.364,0.705,0.198,0.364,"[[155  65]
 [ 28  16]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",99,2019-05-11 18:35:08.457065
0,8Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.735,0.589,0.174,0.331,0.286,0.393,0.804,0.286,0.393,"[[225  55]
 [ 34  22]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",21,2019-05-11 18:35:35.039503
0,8Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.657,0.515,-0.079,0.13,0.161,0.154,0.758,0.113,0.154,"[[197  63]
 [ 44   8]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",40,2019-05-11 18:35:54.083409
0,8Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.521,0.59,0.068,0.289,0.244,0.583,0.508,0.192,0.583,"[[122 118]
 [ 20  28]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",60,2019-05-11 18:36:13.988107
0,8Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.773,0.492,0.023,0.143,0.208,0.114,0.905,0.192,0.114,"[[199  21]
 [ 39   5]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",79,2019-05-11 18:36:33.073134
0,8Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.606,0.537,0.07,0.278,0.201,0.455,0.636,0.2,0.455,"[[140  80]
 [ 24  20]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",98,2019-05-11 18:36:51.588615
0,8Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.414,0.535,-0.035,0.245,0.215,0.571,0.382,0.156,0.571,"[[107 173]
 [ 24  32]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",21,2019-05-11 18:37:20.223266
0,8Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.734,0.575,-0.012,0.144,0.188,0.135,0.854,0.156,0.135,"[[222  38]
 [ 45   7]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",38,2019-05-11 18:37:37.767341
0,8Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.524,0.54,0.084,0.297,0.229,0.604,0.508,0.197,0.604,"[[122 118]
 [ 19  29]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",56,2019-05-11 18:37:55.104110
0,8Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.769,0.502,0.095,0.228,0.181,0.205,0.882,0.257,0.205,"[[194  26]
 [ 35   9]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",74,2019-05-11 18:38:13.222841
0,8Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.496,0.55,0.01,0.257,0.327,0.523,0.491,0.17,0.523,"[[108 112]
 [ 21  23]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",91,2019-05-11 18:38:30.591226
