Comment,Test,Validation,Training,Correct,AUC,MCC,F1,AVP,TPR,TNR,Prec,Rec,Confusion matrix,LR,Duration (s),Timestamp
0,Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.759,0.667,0.208,0.352,0.246,0.393,0.832,0.319,0.393,"[[233  47]
 [ 34  22]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",22,2019-05-10 15:12:26.546101
0,Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.699,0.564,-0.007,0.175,0.184,0.192,0.8,0.161,0.192,"[[208  52]
 [ 42  10]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",40,2019-05-10 15:12:44.618466
0,Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.594,0.525,0.06,0.273,0.183,0.458,0.621,0.195,0.458,"[[149  91]
 [ 26  22]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",58,2019-05-10 15:13:03.067371
0,Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.761,0.599,0.117,0.259,0.346,0.25,0.864,0.268,0.25,"[[190  30]
 [ 33  11]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",76,2019-05-10 15:13:21.458698
0,Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.697,0.629,0.137,0.31,0.279,0.409,0.755,0.25,0.409,"[[166  54]
 [ 26  18]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",94,2019-05-10 15:13:39.205413
0,Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.67,0.624,0.14,0.319,0.215,0.464,0.711,0.243,0.464,"[[199  81]
 [ 30  26]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",23,2019-05-10 15:14:08.437274
0,Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.763,0.644,0.172,0.315,0.239,0.327,0.85,0.304,0.327,"[[221  39]
 [ 35  17]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",42,2019-05-10 15:14:27.442936
0,Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.524,0.577,0.059,0.283,0.275,0.562,0.517,0.189,0.562,"[[124 116]
 [ 21  27]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",60,2019-05-10 15:14:46.401767
0,Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.58,0.469,-0.068,0.178,0.182,0.273,0.641,0.132,0.273,"[[141  79]
 [ 32  12]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",79,2019-05-10 15:15:05.176168
0,Struc33 S:4 X:20_53,0,4,"[0, 1, 2, 3]",0.735,0.594,0.009,0.167,0.203,0.159,0.85,0.175,0.159,"[[187  33]
 [ 37   7]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",98,2019-05-10 15:15:24.361505
0,Struc33 S:4 X:20_53,0,0,"[1, 2, 3, 4]",0.539,0.615,0.077,0.292,0.232,0.571,0.532,0.196,0.571,"[[149 131]
 [ 24  32]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",22,2019-05-10 15:15:52.221677
0,Struc33 S:4 X:20_53,0,1,"[0, 2, 3, 4]",0.66,0.571,0.105,0.293,0.185,0.423,0.708,0.224,0.423,"[[184  76]
 [ 30  22]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",38,2019-05-10 15:16:09.088127
0,Struc33 S:4 X:20_53,0,2,"[0, 1, 3, 4]",0.58,0.578,0.072,0.284,0.242,0.5,0.596,0.198,0.5,"[[143  97]
 [ 24  24]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",56,2019-05-10 15:16:26.499020
0,Struc33 S:4 X:20_53,0,3,"[0, 1, 2, 4]",0.58,0.547,0.017,0.245,0.191,0.409,0.614,0.175,0.409,"[[135  85]
 [ 26  18]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",74,2019-05-10 15:16:44.492692
