Comment,Test,Validation,Training,Correct,AUC,MCC,F1,AVP,TPR,TNR,Prec,Rec,Confusion matrix,LR,Duration (s),Timestamp
0,AAs S:4 X:0_20,0,0,"[1, 2, 3, 4]",0.821,0.663,0.445,0.545,0.518,0.643,0.857,0.474,0.643,"[[240  40]
 [ 20  36]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",20,2019-05-10 15:06:37.834197
0,AAs S:4 X:0_20,0,1,"[0, 2, 3, 4]",0.766,0.803,0.344,0.467,0.505,0.615,0.796,0.376,0.615,"[[207  53]
 [ 20  32]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",37,2019-05-10 15:06:55.199108
0,AAs S:4 X:0_20,0,2,"[0, 1, 3, 4]",0.792,0.397,0.169,0.286,0.215,0.25,0.9,0.333,0.25,"[[216  24]
 [ 36  12]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",55,2019-05-10 15:07:12.696409
0,AAs S:4 X:0_20,0,3,"[0, 1, 2, 4]",0.697,0.579,0.049,0.231,0.21,0.273,0.782,0.2,0.273,"[[172  48]
 [ 32  12]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",73,2019-05-10 15:07:31.019654
0,AAs S:4 X:0_20,0,4,"[0, 1, 2, 3]",0.818,0.56,0.098,0.143,0.315,0.091,0.964,0.333,0.091,"[[212   8]
 [ 40   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",91,2019-05-10 15:07:49.035320
0,AAs S:4 X:0_20,0,0,"[1, 2, 3, 4]",0.688,0.683,0.263,0.407,0.343,0.643,0.696,0.298,0.643,"[[195  85]
 [ 20  36]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",21,2019-05-10 15:08:15.778945
0,AAs S:4 X:0_20,0,1,"[0, 2, 3, 4]",0.849,0.8,0.386,0.46,0.543,0.385,0.942,0.571,0.385,"[[245  15]
 [ 32  20]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",39,2019-05-10 15:08:34.231610
0,AAs S:4 X:0_20,0,2,"[0, 1, 3, 4]",0.819,0.783,0.231,0.316,0.365,0.25,0.933,0.429,0.25,"[[224  16]
 [ 36  12]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",56,2019-05-10 15:08:51.490685
0,AAs S:4 X:0_20,0,3,"[0, 1, 2, 4]",0.773,0.672,0.211,0.348,0.265,0.364,0.855,0.333,0.364,"[[188  32]
 [ 28  16]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",75,2019-05-10 15:09:10.251181
0,AAs S:4 X:0_20,0,4,"[0, 1, 2, 3]",0.758,0.578,-0.022,0.111,0.278,0.091,0.891,0.143,0.091,"[[196  24]
 [ 40   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",93,2019-05-10 15:09:28.051530
0,AAs S:4 X:0_20,0,0,"[1, 2, 3, 4]",0.798,0.777,0.406,0.514,0.71,0.643,0.829,0.429,0.643,"[[232  48]
 [ 20  36]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",20,2019-05-10 15:09:55.232602
0,AAs S:4 X:0_20,0,1,"[0, 2, 3, 4]",0.782,0.718,0.284,0.414,0.41,0.462,0.846,0.375,0.462,"[[220  40]
 [ 28  24]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",1862,2019-05-10 15:40:36.408516
0,AAs S:4 X:0_20,0,2,"[0, 1, 3, 4]",0.833,0.655,0.151,0.143,0.281,0.083,0.983,0.5,0.083,"[[236   4]
 [ 44   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",1878,2019-05-10 15:40:52.430759
0,AAs S:4 X:0_20,0,3,"[0, 1, 2, 4]",0.803,0.805,0.411,0.519,0.462,0.636,0.836,0.438,0.636,"[[184  36]
 [ 16  28]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",1894,2019-05-10 15:41:08.735767
