Comment,Test,Validation,Training,Correct,AUC,MCC,F1,AVP,TPR,TNR,Prec,Rec,Confusion matrix,LR,Duration (s),Timestamp
0,s8all53 S:8,0,0,"[1, 2, 3, 4]",0.812,0.801,0.385,0.496,0.438,0.554,0.864,0.449,0.554,"[[242  38]
 [ 25  31]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",48,2019-05-11 16:29:14.017439
0,s8all53 S:8,0,1,"[0, 2, 3, 4]",0.83,0.715,0.304,0.391,0.367,0.327,0.931,0.486,0.327,"[[242  18]
 [ 35  17]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",91,2019-05-11 16:29:57.191042
0,s8all53 S:8,0,2,"[0, 1, 3, 4]",0.84,0.842,0.444,0.54,0.565,0.562,0.896,0.519,0.562,"[[215  25]
 [ 21  27]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",136,2019-05-11 16:30:42.279960
0,s8all53 S:8,0,3,"[0, 1, 2, 4]",0.769,0.615,0.038,0.164,0.261,0.136,0.895,0.207,0.136,"[[197  23]
 [ 38   6]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",181,2019-05-11 16:31:27.145271
0,s8all53 S:8,0,4,"[0, 1, 2, 3]",0.739,0.567,-0.005,0.148,0.252,0.136,0.859,0.162,0.136,"[[189  31]
 [ 38   6]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",228,2019-05-11 16:32:13.531600
0,s8all53 S:8,0,0,"[1, 2, 3, 4]",0.765,0.769,0.358,0.477,0.379,0.643,0.789,0.379,0.643,"[[221  59]
 [ 20  36]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",49,2019-05-11 16:33:09.948746
0,s8all53 S:8,0,1,"[0, 2, 3, 4]",0.84,0.701,0.224,0.219,0.446,0.135,0.981,0.583,0.135,"[[255   5]
 [ 45   7]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",93,2019-05-11 16:33:54.077886
0,s8all53 S:8,0,2,"[0, 1, 3, 4]",0.816,0.793,0.222,0.312,0.409,0.25,0.929,0.414,0.25,"[[223  17]
 [ 36  12]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",138,2019-05-11 16:34:38.634290
0,s8all53 S:8,0,3,"[0, 1, 2, 4]",0.792,0.641,0.2,0.321,0.382,0.295,0.891,0.351,0.295,"[[196  24]
 [ 31  13]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",183,2019-05-11 16:35:23.884662
0,s8all53 S:8,0,4,"[0, 1, 2, 3]",0.788,0.62,0.049,0.152,0.29,0.114,0.923,0.227,0.114,"[[203  17]
 [ 39   5]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",228,2019-05-11 16:36:09.120054
0,s8all53 S:8,0,0,"[1, 2, 3, 4]",0.78,0.773,0.369,0.486,0.302,0.625,0.811,0.398,0.625,"[[227  53]
 [ 21  35]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",48,2019-05-11 16:37:05.339593
0,s8all53 S:8,0,1,"[0, 2, 3, 4]",0.817,0.698,0.273,0.374,0.311,0.327,0.915,0.436,0.327,"[[238  22]
 [ 35  17]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",93,2019-05-11 16:37:49.643365
0,s8all53 S:8,0,2,"[0, 1, 3, 4]",0.792,0.776,0.286,0.412,0.369,0.438,0.862,0.389,0.438,"[[207  33]
 [ 27  21]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",138,2019-05-11 16:38:34.890951
0,s8all53 S:8,0,3,"[0, 1, 2, 4]",0.746,0.613,0.111,0.264,0.354,0.273,0.841,0.255,0.273,"[[185  35]
 [ 32  12]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",183,2019-05-11 16:39:20.421182
0,s8all53 S:8,0,4,"[0, 1, 2, 3]",0.773,0.595,0.0,0.118,0.218,0.091,0.909,0.167,0.091,"[[200  20]
 [ 40   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",229,2019-05-11 16:40:06.035043
0,s8all53 S:8,0,0,"[1, 2, 3, 4]",0.786,0.753,-0.045,0.053,0.285,0.036,0.936,0.1,0.036,"[[262  18]
 [ 54   2]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",50,2019-05-11 16:41:03.966568
0,s8all53 S:8,0,1,"[0, 2, 3, 4]",0.853,0.699,0.404,0.477,0.437,0.404,0.942,0.583,0.404,"[[245  15]
 [ 31  21]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",95,2019-05-11 16:41:49.063684
0,s8all53 S:8,0,2,"[0, 1, 3, 4]",0.781,0.831,0.436,0.533,0.45,0.75,0.788,0.414,0.75,"[[189  51]
 [ 12  36]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",140,2019-05-11 16:42:34.239905
0,s8all53 S:8,0,3,"[0, 1, 2, 4]",0.777,0.644,0.125,0.253,0.29,0.227,0.886,0.286,0.227,"[[195  25]
 [ 34  10]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05, 0.005, 0.05]",186,2019-05-11 16:43:19.861914
